RecordNo,Релевантность,Таксономия релевантные,Таксономия не релевантные,Длина отзыва,Ценности
3417,0,1,0,0,0
284,0,1,0,0,0
5419,1,1,0,0,0
5846,1,0,0,0,0
90,1,1,1,0,1
3798,0,1,0,1,0
5570,0,0,0,0,0
1031,0,1,0,0,0
7811,1,1,0,0,1
3982,0,0,0,0,1
292,0,0,0,0,0
864,0,1,0,0,0
5902,0,0,0,0,0
4819,0,0,0,0,0
1890,0,0,1,1,0
4430,1,1,0,0,1
1906,1,1,0,0,1
6012,0,1,1,0,0
4798,0,0,0,1,1
3650,0,0,0,0,0
3906,1,1,0,0,1
20,0,0,1,0,1
7439,1,1,0,0,1
7551,0,1,0,0,0
4742,0,0,0,0,1
3567,1,1,0,0,1
4442,1,0,0,0,1
7344,0,1,0,0,1
4453,0,1,0,0,1
7933,0,0,0,0,0
1115,0,1,0,0,0
4085,0,0,0,0,0
3753,1,1,0,0,1
7564,0,0,1,0,1
4138,0,1,0,1,1
1633,0,1,0,1,1
7522,0,0,0,0,0
3271,0,0,0,0,1
1700,0,1,0,1,0
5736,0,0,0,0,0
5987,0,1,1,1,0
4250,0,1,0,1,1
2522,0,0,0,0,1
6434,0,1,0,1,1
1620,1,1,0,0,1
3111,0,1,0,0,0
1791,0,0,1,1,1
2027,1,0,0,1,1
6657,1,1,0,0,1
7686,1,1,0,0,1
1053,0,0,0,0,1
1389,0,1,0,1,0
6830,0,0,0,0,1
441,0,0,1,0,1
298,0,0,0,1,1
6419,0,1,1,0,0
5793,0,0,0,1,1
6748,0,0,0,1,1
2760,0,0,0,1,1
6268,0,0,0,0,0
5045,1,1,0,0,0
1560,1,1,1,0,1
6747,0,1,0,0,0
1787,0,0,0,0,0
107,0,1,0,0,1
1533,0,0,0,0,0
7002,0,0,0,0,1
2662,1,1,0,0,0
1047,0,1,0,0,1
5268,0,1,0,1,1
4374,0,1,0,0,0
2341,1,1,0,0,1
7503,0,0,0,1,1
3510,0,0,0,0,0
6346,0,1,0,0,0
2053,1,1,0,0,1
1898,0,1,0,0,1
7616,1,1,0,0,1
2440,0,1,0,1,0
6293,0,0,0,0,1
7643,1,1,1,0,0
226,0,0,0,0,1
4273,1,1,0,0,1
4538,0,0,0,1,1
7433,1,0,0,0,1
2339,0,0,0,0,0
5416,0,0,1,0,0
2416,0,0,0,0,1
7896,0,0,0,0,0
5722,0,1,0,0,0
1694,0,0,0,1,1
3009,0,0,0,0,0
2548,0,0,0,0,0
1375,0,0,0,0,0
4556,0,0,1,0,0
5734,0,0,0,0,0
947,0,0,0,0,1
4358,0,1,0,0,0
1179,0,1,0,0,0
5805,0,0,0,0,0
266,0,0,0,0,1
6715,0,1,0,1,0
1386,0,1,0,0,0
3800,0,0,0,0,0
260,0,1,0,0,0
894,0,0,0,0,0
6553,0,1,0,1,0
3378,1,0,0,0,1
665,0,0,0,0,0
5338,0,0,0,0,1
1180,0,0,0,1,1
1542,1,1,1,0,1
6758,1,1,1,1,1
3288,0,1,0,0,1
646,0,0,0,0,0
7916,1,1,1,0,1
3483,0,1,0,0,0
6589,1,0,0,0,1
322,0,1,0,0,1
7498,0,1,0,0,0
7207,0,1,0,0,0
5458,0,0,0,0,1
1283,1,1,0,0,1
5532,1,1,0,0,1
1681,1,0,0,0,0
5737,0,0,0,0,1
5103,0,1,0,0,1
2257,0,0,0,0,1
7775,0,1,0,0,0
3427,0,1,0,0,1
5967,0,0,0,0,1
5876,0,0,0,0,1
5691,0,1,0,1,0
630,1,0,0,0,1
776,0,0,0,0,1
3540,0,1,0,0,1
3070,1,1,0,0,1
2628,1,0,0,1,1
4013,0,0,0,0,0
384,0,1,0,0,0
942,0,0,0,0,1
278,1,0,0,0,1
6828,0,0,0,0,1
4645,0,0,0,0,0
118,0,1,0,0,0
3922,0,1,0,0,0
2116,0,1,0,1,0
4633,0,1,0,0,0
477,0,0,0,0,0
2712,0,0,0,0,0
2643,0,0,0,0,0
2659,0,0,0,0,0
4227,0,0,0,0,0
2654,0,0,1,0,0
3317,0,0,0,1,1
2810,0,0,1,1,0
5478,1,1,0,1,1
6710,0,1,0,0,0
493,1,1,0,0,1
4158,0,0,0,1,1
3162,0,0,0,0,0
1301,0,1,0,1,1
1202,1,1,0,0,1
3043,1,1,0,0,1
6709,0,1,0,1,0
4930,1,1,0,0,0
540,0,0,0,1,1
3790,1,1,1,0,1
2457,1,1,0,0,1
1812,0,1,0,0,0
3967,0,1,0,1,0
1920,0,0,0,1,1
6195,0,0,0,0,0
3545,0,0,0,0,0
3915,0,0,0,0,1
2120,0,1,0,1,0
4581,1,0,0,0,1
4616,1,1,0,0,1
2530,0,0,1,0,0
6006,1,1,0,0,0
1608,1,1,0,0,1
3051,0,0,0,0,0
548,0,0,0,0,0
6686,0,1,1,0,0
3544,0,0,0,0,0
1650,0,0,0,0,1
249,0,0,0,1,1
639,0,0,0,1,1
7572,1,1,0,0,1
4710,1,1,0,0,1
5585,0,1,0,0,0
4088,1,1,0,0,1
5292,1,0,0,0,1
7452,0,1,0,0,0
3668,0,1,0,0,0
3613,1,1,0,0,1
1783,0,1,0,0,0
4781,1,1,0,0,0
6959,0,1,0,0,0
2144,0,0,0,0,0
7743,0,0,0,0,0
1832,0,0,1,1,0
3291,0,0,0,0,0
3381,0,1,0,0,0
5187,1,1,0,0,0
3103,0,1,0,0,0
101,1,1,0,0,1
5384,0,1,0,0,0
7000,1,1,0,0,1
7900,1,1,0,1,0
149,1,1,0,0,1
6881,0,0,1,0,0
4073,0,1,0,0,1
2986,1,1,0,0,1
4259,0,0,0,0,1
1360,0,0,0,0,0
7313,0,1,0,0,0
1988,0,1,0,1,0
4763,0,0,1,0,0
4750,1,1,0,0,1
2739,0,1,0,0,0
2179,0,1,0,0,0
4572,1,1,1,0,1
5784,1,1,1,0,0
7140,0,0,0,0,0
4097,0,1,0,0,1
3086,0,0,0,1,1
1758,0,0,0,0,0
5244,0,0,1,0,1
3226,1,1,0,0,1
7566,0,0,0,0,0
3246,0,0,0,1,1
7351,1,1,1,0,1
7899,0,0,0,0,0
7379,0,1,0,1,0
2470,0,0,0,0,1
2668,0,0,1,0,0
7499,1,1,0,0,1
7623,0,0,0,0,0
496,0,1,0,0,1
2684,0,1,0,0,1
7831,0,1,0,0,0
3472,0,1,0,0,1
585,0,0,0,0,0
668,1,0,0,0,1
6095,1,1,1,0,1
4642,0,1,0,1,1
4822,0,0,1,0,1
4008,0,0,0,0,1
6744,1,1,1,0,1
6598,0,0,0,0,0
7704,1,1,1,0,1
2087,0,1,0,1,0
3057,0,0,0,0,1
2773,1,1,0,0,1
5824,0,1,0,0,0
2624,0,1,0,0,1
4612,1,1,0,0,0
4627,0,0,0,0,0
4295,0,1,1,0,1
490,0,0,0,0,0
2242,0,1,0,0,1
7701,1,0,0,0,1
3558,0,0,0,0,1
2815,0,0,0,0,0
85,1,1,0,0,1
4083,0,0,0,0,1
6869,0,1,0,0,1
6449,1,1,0,0,1
53,1,1,0,0,1
1922,1,1,0,1,1
3777,1,0,0,0,1
3950,0,0,0,0,0
6652,0,0,0,0,0
7663,1,1,0,0,1
5604,0,0,0,0,1
7820,1,0,0,0,0
7806,0,0,0,0,0
1368,1,1,0,0,1
4729,0,1,0,1,0
6791,0,1,0,0,1
577,0,0,0,0,1
4938,0,1,0,0,1
5395,0,0,1,0,0
734,0,0,0,1,1
3764,0,0,0,0,0
3322,1,1,0,0,1
4622,1,1,0,1,1
2984,0,1,0,0,0
161,1,1,0,1,1
7631,1,1,0,0,0
2991,1,1,0,0,1
223,1,1,0,0,1
3455,0,0,1,0,0
6026,1,1,0,1,0
6595,1,0,0,0,1
6564,0,0,0,0,1
3464,0,0,1,0,0
5151,1,1,0,0,1
4575,0,0,0,0,0
581,0,1,0,0,0
6252,0,0,0,0,0
7904,0,0,0,0,0
5660,0,1,0,0,1
6210,0,1,0,1,0
7166,0,0,0,0,0
3129,0,1,0,0,0
7265,0,0,0,0,0
1272,0,0,1,0,0
6421,0,0,1,1,0
7937,0,0,0,0,1
7017,0,0,0,0,0
2778,0,0,0,0,1
4578,0,0,0,1,1
2067,0,1,0,0,1
832,0,0,0,0,0
1685,0,1,1,0,0
7586,1,1,0,1,1
4917,0,0,0,0,0
4390,0,0,0,0,0
1900,0,0,0,0,0
1540,1,1,0,0,1
1854,0,0,0,0,0
7671,1,1,0,0,1
4023,0,0,0,0,0
2780,1,1,0,0,1
89,0,0,0,0,1
5414,0,0,0,0,0
5595,0,0,0,0,1
4495,0,0,0,1,1
6154,0,0,0,0,1
6857,1,1,0,0,1
3646,1,1,0,0,1
6696,0,0,0,0,0
1644,1,0,0,1,1
2069,0,1,0,0,1
2825,0,0,1,0,0
907,0,0,0,1,1
6996,0,1,0,1,1
7902,1,1,1,0,1
66,0,1,0,0,0
4103,0,1,0,0,0
509,1,1,0,0,0
3897,0,0,0,0,0
3316,1,1,0,0,0
4089,1,1,0,0,1
6932,0,0,0,0,1
4721,0,1,0,0,1
1923,1,1,0,0,1
4341,0,0,0,0,0
2556,0,1,0,1,1
536,0,1,0,0,1
5896,0,1,0,0,0
2843,1,1,0,0,1
2270,0,0,0,0,0
5534,0,0,0,0,0
6084,1,1,0,1,1
7926,0,0,0,0,0
5956,1,1,0,1,1
3809,0,1,1,0,0
5852,0,0,0,0,0
5166,0,0,1,0,0
3824,0,0,0,0,0
7786,1,1,0,0,1
4112,0,0,0,0,0
544,0,1,0,1,1
3404,0,0,1,0,0
253,0,0,0,0,1
6767,0,1,0,1,0
4447,0,1,1,0,0
6792,0,0,0,0,0
3113,0,0,0,0,0
1857,0,0,1,0,0
6860,1,1,0,1,1
791,0,1,0,1,0
95,1,1,0,0,1
3172,0,0,0,0,0
2981,0,1,0,1,0
7058,0,0,0,0,0
7465,1,1,0,0,1
4074,0,1,0,0,0
106,0,0,1,0,0
6244,0,0,0,0,0
2285,1,1,0,0,1
6153,1,1,0,0,1
2614,0,0,1,0,0
1663,0,1,0,0,1
6341,1,0,1,0,1
7568,0,1,0,1,0
4531,0,0,0,0,0
6336,0,1,0,0,0
7069,0,0,0,0,1
3320,0,1,0,0,0
7459,0,0,0,0,0
438,1,1,0,0,1
1017,0,1,0,0,0
353,0,0,0,1,1
3373,1,0,0,0,1
690,0,1,0,0,1
2329,0,0,1,0,0
4753,0,1,0,1,0
5526,0,1,0,1,1
4376,0,1,0,1,1
3230,0,0,0,1,1
835,1,1,0,0,1
6179,0,1,1,0,1
4827,0,1,0,0,1
5025,0,0,0,0,1
6714,0,1,0,1,0
5525,1,1,0,0,1
2412,1,1,0,0,1
6499,0,1,1,0,0
2965,1,1,0,0,1
157,0,0,0,0,0
985,0,1,0,0,0
4466,0,0,0,0,1
715,0,1,0,1,0
562,0,0,0,0,0
289,1,0,0,0,1
4397,1,1,1,0,1
4014,0,1,0,0,0
6669,0,1,1,1,1
5988,1,1,0,0,1
1541,1,1,0,0,1
2447,0,1,0,1,0
6197,0,1,0,1,0
3815,0,0,0,0,1
7302,0,1,1,0,0
1100,1,1,1,0,0
4972,0,0,1,0,1
7524,0,0,0,0,0
2141,0,1,1,0,0
987,1,0,0,0,1
6394,0,0,0,0,1
3344,0,1,0,0,0
1310,0,1,0,0,0
4015,0,0,0,0,1
4953,0,0,0,0,1
1665,0,0,0,0,0
6851,0,0,0,1,1
2488,0,1,0,1,1
5695,0,0,0,1,1
6786,0,1,0,0,1
675,0,1,0,0,0
918,0,0,0,1,1
4735,0,1,0,1,1
2695,1,0,0,1,1
2458,0,1,0,0,0
5744,0,1,0,0,0
5269,1,1,0,0,1
2449,1,1,0,1,1
1732,1,1,0,0,1
6717,1,1,1,0,1
1519,1,1,0,0,1
6382,0,0,0,0,0
1544,1,1,0,0,1
5810,0,0,0,0,1
5288,0,1,0,1,1
3217,0,0,0,1,1
227,1,1,0,0,1
771,0,0,0,0,1
6937,0,1,0,0,0
7253,0,1,0,0,0
5743,1,0,0,1,1
7442,1,0,0,1,1
3601,0,0,0,0,0
207,0,1,1,1,1
7508,0,1,0,0,0
642,0,0,0,0,1
6292,0,0,0,0,0
4569,0,0,0,0,1
833,0,1,1,0,1
7007,0,0,0,0,0
2596,0,0,0,0,0
5314,0,1,0,1,1
399,0,0,1,0,0
1524,0,1,0,0,0
7466,1,1,0,0,1
2000,1,0,0,0,1
6263,0,0,0,0,0
3819,1,1,0,0,0
5069,0,1,0,0,1
2463,0,0,1,0,1
3401,0,1,0,0,0
2115,0,0,0,0,1
551,0,0,0,0,0
3938,1,1,0,0,1
3315,0,0,1,0,1
5596,0,0,0,0,1
5777,0,1,0,1,1
3097,0,1,0,0,1
847,0,0,0,0,0
5727,0,0,0,0,1
2636,0,1,0,0,0
5383,1,0,0,0,1
5295,0,0,0,0,0
405,0,1,0,0,0
3247,1,1,0,0,1
362,0,0,1,1,0
3029,0,1,0,1,0
3546,0,0,1,0,0
2567,0,1,0,0,0
1977,1,1,0,0,1
498,0,0,0,0,0
6877,0,0,0,0,0
7892,1,0,0,0,1
2772,1,1,0,0,1
4948,1,1,0,0,1
906,0,1,0,0,0
4553,0,0,0,0,0
3039,0,1,0,1,0
6099,0,0,0,0,0
4357,0,0,0,0,0
3943,0,0,0,1,1
4243,0,1,0,0,0
3909,0,1,0,0,0
6469,0,0,0,0,1
3725,0,0,0,0,1
3375,0,1,0,0,1
7320,1,1,0,1,1
1637,0,0,0,0,0
7791,0,1,0,1,0
2870,1,1,0,0,1
3370,0,0,0,0,1
5076,0,0,1,1,0
1391,1,1,0,0,0
6344,0,1,1,0,0
5122,0,0,0,1,1
5973,0,1,0,0,0
1434,0,1,0,0,1
5935,1,1,0,0,1
5553,1,1,0,0,1
4067,0,1,0,0,1
2502,1,1,0,0,1
3530,0,0,0,0,1
5713,0,1,0,1,1
3981,1,1,1,0,1
5058,0,0,0,1,1
4592,0,1,0,1,0
4777,0,0,1,0,1
4956,0,1,0,1,0
3671,0,1,0,0,0
6506,0,0,0,0,0
3867,1,1,1,0,1
99,0,0,0,0,0
2209,0,0,0,0,0
3799,0,0,0,0,0
2142,0,0,0,0,1
81,0,1,0,1,0
5332,0,0,0,0,0
1201,0,1,0,0,0
440,0,1,0,0,1
4124,0,0,0,1,1
5394,1,1,0,0,1
4525,0,1,0,1,1
7835,0,0,0,0,0
1803,0,0,0,0,0
2820,1,1,0,0,1
4433,1,1,0,0,1
6204,0,1,0,0,0
7300,1,1,0,0,1
1629,0,0,1,0,0
2679,0,0,0,0,0
7607,0,1,0,0,0
5923,0,0,1,0,1
7468,0,0,0,0,1
5464,1,1,0,0,1
1781,1,1,0,1,1
5062,0,0,0,0,0
5116,0,0,0,0,0
5591,1,1,0,0,1
3026,1,1,0,0,0
5033,0,0,0,0,1
39,0,0,0,1,1
2047,0,0,0,0,0
476,0,0,0,0,1
4844,0,1,0,1,0
507,0,1,0,1,0
7913,1,1,0,0,1
3068,0,1,0,0,1
2106,1,0,0,0,1
1948,0,1,0,0,1
3968,0,0,0,0,1
6338,0,0,0,0,1
6189,0,1,0,0,0
4409,0,0,0,0,0
6655,1,1,0,0,1
5369,0,0,0,0,0
7530,0,1,0,0,0
3768,0,0,0,1,0
3362,1,0,0,0,1
4122,1,1,0,0,1
716,0,1,0,1,0
4223,0,0,0,0,1
5514,0,1,0,0,1
2167,0,1,0,0,0
6781,0,0,0,1,1
3857,0,0,0,0,0
2916,0,1,0,0,1
2678,1,1,0,0,1
4080,0,0,0,0,1
5909,0,1,0,0,0
4993,0,1,0,0,1
462,0,1,0,1,0
1236,1,0,0,0,1
7867,0,0,0,1,1
262,0,0,1,1,0
5775,0,0,0,1,1
3050,1,1,0,0,1
865,0,0,0,1,1
6296,1,0,0,0,1
766,0,1,0,0,0
2421,1,1,0,0,1
7242,0,1,0,0,1
7014,0,1,0,0,0
7669,1,0,0,0,0
6092,0,0,1,0,0
7940,0,0,0,0,0
4017,0,0,1,0,0
707,1,1,0,0,1
6757,0,1,0,1,1
3566,0,1,0,0,0
1921,0,0,0,0,0
4166,1,1,0,0,1
543,0,1,1,1,0
7213,0,0,1,1,0
7781,0,0,0,1,1
5149,0,1,0,1,0
1028,0,1,0,0,1
6396,0,1,0,0,0
7233,0,1,0,0,1
717,0,0,0,0,1
6053,1,1,0,0,1
7426,0,1,1,0,0
273,0,0,0,1,1
3192,0,1,0,1,0
1957,0,0,0,0,0
2455,0,1,0,1,1
711,0,0,0,0,0
2724,0,1,0,0,1
7471,0,1,0,0,0
6070,1,1,0,1,0
5829,0,0,0,0,1
6936,0,1,0,0,0
7768,1,1,0,1,1
189,1,1,0,0,1
3605,0,0,0,0,0
917,1,0,0,0,0
1576,0,0,0,0,1
6358,1,0,0,0,1
6979,0,0,0,1,1
3780,0,1,0,1,0
1203,1,1,1,0,1
770,1,1,0,0,1
6825,0,1,1,0,1
5586,0,0,0,0,0
3060,0,1,1,0,0
5883,1,0,0,1,1
2204,0,1,0,0,1
3957,0,1,0,0,1
6116,1,1,0,0,1
912,1,1,0,0,1
4543,0,0,0,1,1
518,0,1,0,0,1
611,0,1,0,1,0
2962,0,0,0,0,0
3275,1,0,0,0,1
1157,0,0,0,0,0
1565,0,0,0,1,1
485,0,0,0,0,0
5754,0,1,0,0,1
6962,0,0,0,1,1
4869,0,0,0,0,1
5301,0,1,0,1,0
2845,1,1,0,0,1
5204,0,1,0,1,1
4897,0,0,0,0,0
3461,1,1,0,1,1
296,1,1,0,0,1
3511,0,1,0,1,0
4676,0,0,0,0,0
241,0,0,0,0,1
3327,0,0,1,0,0
83,0,0,0,0,1
1615,1,0,0,0,1
370,0,1,0,1,0
2700,0,0,0,1,1
7756,0,1,0,1,0
6958,0,0,0,0,1
7705,0,0,0,0,1
1654,0,1,1,0,1
5808,0,0,1,0,1
3998,0,1,0,0,1
2002,0,0,1,1,0
963,0,0,0,1,1
7515,0,0,0,0,0
5680,0,0,0,0,1
6162,1,1,0,0,0
5740,0,0,1,0,0
1896,0,1,0,1,1
1147,0,0,0,0,1
1407,0,0,0,0,0
2592,1,1,0,0,1
7073,0,1,1,0,0
206,0,0,0,1,1
3986,0,0,0,0,1
3488,0,0,0,0,0
3767,1,1,0,0,1
7953,0,1,0,0,1
3477,1,0,0,0,1
6588,0,0,0,1,1
3313,0,0,0,0,0
1013,1,1,0,0,1
588,0,0,1,1,0
1619,1,1,0,0,1
6439,0,1,1,1,0
5993,0,1,1,0,0
5005,0,0,0,0,0
2442,1,0,0,0,1
7609,1,0,0,0,1
1960,1,0,0,0,1
1243,0,0,0,0,0
2796,0,1,0,1,0
7288,0,0,0,0,0
7469,0,0,0,0,1
6858,1,1,0,1,1
3549,0,0,1,1,0
6130,1,0,1,0,0
1246,0,0,0,0,1
3821,0,0,0,1,1
6389,0,0,0,1,1
3590,0,0,0,1,1
2490,0,1,1,0,0
409,1,1,0,0,1
3900,0,1,0,0,1
1306,1,0,0,0,1
1989,0,0,0,0,0
7419,0,0,1,0,0
4084,0,1,0,0,1
7815,0,1,0,1,0
7248,0,0,0,0,0
613,0,0,0,0,1
608,0,1,0,1,1
7010,0,0,0,0,0
5507,0,1,0,1,1
6761,0,1,0,0,1
1552,0,0,0,0,1
6097,0,1,0,0,0
3577,0,0,1,0,0
2050,0,0,0,0,0
3309,0,1,0,1,1
4954,0,0,0,0,0
4838,0,1,1,1,0
4367,0,0,0,0,0
6490,0,0,0,1,1
5080,1,1,0,0,1
4983,1,1,0,0,1
3203,0,1,0,0,1
952,0,1,0,0,0
1418,0,0,0,0,1
7590,0,1,0,0,0
2966,0,1,0,0,1
6354,0,1,0,1,0
308,0,0,1,0,1
7529,0,1,1,0,1
3603,1,1,0,0,1
4949,1,1,1,0,1
4456,0,0,0,0,1
7746,0,1,0,0,0
1171,0,1,0,0,0
3948,0,1,0,1,1
7022,1,1,0,0,1
209,1,1,0,0,1
3105,1,0,0,0,1
56,0,0,0,0,1
1166,0,0,0,0,0
2881,0,1,0,0,1
5629,0,1,0,0,0
3328,0,0,0,1,1
7647,1,0,0,1,1
1299,0,1,0,0,1
1628,1,1,0,0,1
7416,0,0,0,1,1
12,0,0,0,0,0
348,1,1,0,0,1
1728,0,1,0,1,1
1035,0,0,0,0,1
3792,0,0,0,0,0
3289,0,0,0,0,1
5856,0,0,0,1,1
4381,0,0,0,0,0
3602,0,1,0,1,1
5322,0,1,0,1,0
539,0,0,0,0,1
3769,0,1,0,1,1
272,1,0,0,0,1
7618,0,1,0,1,0
2484,0,0,0,0,0
5870,0,0,0,0,0
5798,0,1,0,1,1
1207,0,0,0,0,1
4027,0,0,1,0,0
6208,0,0,1,0,1
629,0,0,0,0,0
892,1,1,0,0,1
7276,0,0,0,0,0
2868,0,0,0,1,1
2851,0,1,0,0,0
7321,0,1,0,0,0
5032,0,0,0,0,0
1101,0,0,0,0,0
6255,0,0,0,0,0
2333,0,1,0,0,1
5129,0,0,0,0,1
6795,0,0,0,1,1
3073,0,0,1,0,0
3607,1,0,0,0,0
4888,0,1,0,1,1
4307,0,1,1,0,1
6533,0,1,1,0,0
2976,1,0,0,0,1
6143,0,0,0,0,1
1173,0,1,0,0,0
1061,1,1,0,0,1
1607,0,0,0,1,1
7132,0,0,0,0,0
3441,0,0,0,0,1
2949,0,0,1,0,0
1876,1,0,0,0,1
6563,1,1,0,0,1
5396,0,0,0,0,0
1241,0,0,0,0,1
6916,0,0,0,0,0
5667,1,0,0,0,0
372,0,1,1,0,1
2888,0,0,1,0,0
7410,0,0,1,1,1
369,0,0,0,0,1
623,0,0,0,0,1
4490,0,1,0,1,1
2163,1,1,0,0,1
3454,0,0,0,0,0
1679,1,1,0,0,1
3807,1,1,0,0,1
7020,0,0,0,0,1
4116,0,1,0,1,0
4438,0,0,0,1,1
1502,0,0,0,0,0
7446,1,1,0,0,1
6700,0,0,0,1,1
1175,0,0,0,0,0
3398,1,1,0,0,1
3872,0,1,0,0,0
2196,1,1,0,0,1
3437,0,0,0,1,1
4599,0,0,1,0,0
572,0,0,0,0,0
3492,0,1,0,1,1
6613,0,0,0,1,1
2516,0,0,1,0,1
135,0,1,0,0,1
808,1,1,0,0,1
5198,1,1,0,0,1
5637,1,0,0,0,0
3933,1,0,0,0,1
3711,0,0,0,0,0
192,0,1,1,0,1
1730,0,1,0,1,1
3228,0,0,0,0,1
6572,1,1,0,1,1
7680,1,1,0,0,1
4150,0,1,0,1,1
365,0,1,0,0,1
7925,0,0,1,0,0
6003,0,0,0,1,1
1252,1,1,0,0,1
1184,0,0,0,0,0
1825,1,1,0,0,1
2162,0,0,0,0,0
3280,0,0,0,0,0
3456,0,0,0,0,0
2537,1,1,0,1,1
5938,1,1,0,0,0
2055,0,1,0,1,1
3882,0,1,1,0,0
354,0,1,1,0,1
5041,0,0,0,0,0
3049,1,0,0,0,1
4319,0,1,0,0,0
2170,0,0,0,0,1
3140,0,0,0,0,1
4666,0,0,0,0,1
7104,0,0,0,1,1
3200,0,0,0,0,0
4879,0,0,1,1,1
2021,1,0,0,1,1
5285,0,0,0,0,1
2657,1,1,0,0,1
2247,0,0,0,0,0
303,0,1,0,0,0
120,1,1,0,0,1
1129,0,0,0,0,1
4364,0,1,0,0,0
4741,0,0,0,1,1
2494,1,1,0,1,1
2271,0,0,0,0,1
2969,0,0,0,0,0
366,0,0,1,0,1
102,0,0,0,0,1
542,1,1,0,0,1
2766,0,0,0,0,0
4634,1,1,0,0,0
735,0,1,0,0,0
2046,1,1,0,0,1
6447,0,1,0,0,1
447,0,1,0,0,0
7061,1,1,0,0,1
54,0,1,0,0,1
7371,0,1,0,0,0
5821,0,0,0,0,1
1818,1,1,0,1,1
3018,0,0,0,0,0
7402,1,1,0,0,0
1838,0,0,1,1,1
3571,0,0,0,0,0
7823,1,1,0,1,1
3083,0,1,0,0,1
6646,0,0,0,0,1
2571,0,1,0,1,1
1427,0,0,0,0,0
5606,0,0,1,0,0
3994,0,0,0,0,1
7619,0,0,0,1,1
3237,0,0,0,0,1
6773,0,0,1,1,1
5496,0,1,0,0,1
4081,0,1,1,0,0
4470,0,0,0,1,1
3304,1,1,1,0,1
2521,0,1,0,0,1
1625,0,0,0,0,0
389,1,1,0,0,1
6886,0,0,0,1,1
4563,0,0,0,1,1
2475,0,0,0,1,1
4755,1,0,0,0,1
5480,0,0,0,0,0
7001,0,1,0,1,1
1456,0,0,0,0,1
4266,0,0,0,0,0
1505,1,1,0,0,1
5728,0,0,0,0,0
5698,0,1,0,1,1
778,0,0,0,0,1
4980,0,0,0,0,0
2732,1,0,0,0,1
197,0,1,0,1,1
888,0,1,0,1,0
3699,0,0,0,1,1
2899,0,0,0,1,1
1387,0,1,0,1,1
1274,0,0,0,0,0
3534,1,1,0,0,1
2284,1,1,0,0,1
5440,0,1,0,0,0
4460,0,0,0,1,1
512,0,0,0,0,0
2638,0,0,0,1,1
2149,0,0,1,1,0
6225,0,0,1,0,0
851,0,0,1,0,0
5178,0,0,0,0,1
98,1,1,0,0,1
37,1,1,0,0,1
5707,1,1,0,1,0
4107,1,1,0,0,1
4749,1,1,0,0,1
7829,0,0,0,0,0
2241,0,0,0,0,0
836,0,1,0,0,1
2858,0,1,0,0,0
756,1,1,1,0,1
5540,0,0,0,1,1
145,0,0,0,0,0
749,0,1,0,1,1
503,0,1,0,0,0
2578,1,1,0,0,1
6525,0,0,0,0,1
6064,0,0,0,0,1
2980,0,0,0,0,1
4661,0,1,1,0,1
1547,0,0,1,0,0
6071,1,1,0,1,1
3805,1,1,0,0,1
471,0,0,0,1,1
